w,i_vggish,i_spectrum,i_speechvgg,mark_speechvgg,mark_vggish,mark_spectrum,ico_2017,ico_2022,length,iconicity_mean,humor,sensory,sensory_sound,sensory_d2,conc,freq,cd,aoa
insect,0.5131292939186096,0.5446972846984863,-0.1926990020054046,0.30273588040413546,0.845066,0.8084925,,3.4,6,0.2883758588705638,2.233333333,,3.789,4.11,4.89,2.2095,109,4.75
loud,0.5127915143966675,-0.2839471697807312,-0.2612867052240009,0.35825896482587316,0.86535513,0.85639894,1.2,5.7,4,-0.010814120202688201,,,4.68,4.18,3.73,3.3079,1506,4.54
cannon,0.5118384957313538,-0.2033042013645172,-0.1049866056565131,0.416401114074529,0.86528426,0.8230063,0.666666667,3.7,6,0.06784922957010782,,2.35,3.8,3.27,4.79,2.6484,255,7.9
screaming,0.5107213854789734,-0.227402463555336,-0.2938501192166554,0.2990289635624068,0.8493612,0.8358449,2.083333333,5.5,9,-0.0035103990976726638,,,4.688,,3.96,3.2891,1201,
rumbling,0.5080865621566772,-0.4015240371227264,-0.0733739580752411,0.38592567720309295,0.84994185,0.8555363,3.285714286,5.2727272727272725,8,0.01106285565290325,,,4.158,,3.0,2.1139,76,
crying,0.5067556500434875,-0.5338857173919678,-0.1904736242600108,0.36602202488559377,0.8486092,0.8588632,0.153846154,4.454545454545454,6,-0.07253456386949701,,,3.824,,4.48,3.433,1664,
boom,0.5060460567474365,-0.2197816967964172,-0.0593804883504523,0.3292038996665795,0.85099375,0.8615897,3.846153846,6.7,4,0.075627957200189,2.829268293,,4.824,3.36,3.66,3.0465,585,5.56
sobbing,0.503633975982666,0.021575953811407,-0.0885746942528817,0.3459587184295419,0.85940045,0.8333169,,,7,0.14554507851373044,,,3.7,,3.26,2.42,157,
coach,0.5025705099105835,0.2194707542657852,-0.0513747311927896,0.37415877978031903,0.8430855,0.8394207,,,5,0.22355551099452634,2.342857143,,4.0,2.33,4.12,3.3856,599,6.89
album,0.5020260810852051,-0.1148559227585792,-0.0692559812805606,0.3340977672301784,0.87895405,0.8476704,,2.1,5,0.10597139234868842,2.257142857,,4.056,3.64,4.69,2.7185,273,6.72
bellow,0.5015279054641724,-0.6721575856208801,-0.1354193051598727,0.40599722191972043,0.86744726,0.82615733,,4.2,6,-0.10201632843886015,3.096774194,,3.733,,3.42,1.3802,21,11.11
sound,0.5003665685653687,0.6437102556228638,-0.1939329336018562,0.33169228973670684,0.88417697,0.82821614,0.833333333,4.0,5,0.3167146301954587,2.375,,5.0,4.27,3.7,3.8642,4069,3.72
motor,0.4997780323028564,-0.5351336598396301,-0.2648784796087473,0.39667897520705836,0.86388046,0.8143005,,4.7,5,-0.1000780357151737,2.341463415,,3.889,4.6,4.84,2.8274,470,7.42
cellphone,0.4992602169513702,-0.0216416232287883,-0.0622722075880671,0.20085199822142952,0.8413801,0.60847425,,,9,0.1384487953781716,,,4.222,,5.0,2.1987,100,14.67
silence,0.4979614615440368,0.2612698972225189,0.0662203847194143,0.14767214590285796,0.863389,0.7111661,,4.8,7,0.27515058116199004,1.676470588,,4.0,,3.33,3.1123,884,4.6
arcade,0.4979026317596435,0.3433939516544342,-0.0859548526543623,0.3307694553704523,0.8659862,0.8415085,,3.3,6,0.25178057691990513,2.771428571,,4.188,3.27,4.74,2.0492,71,7.79
bass,0.4966147840023041,-0.0540260002017021,-0.0182596689376269,0.24694528703480717,0.8516587,0.83755517,,4.6,4,0.14144303828765836,,,4.053,2.64,4.31,2.5866,224,8.63
tone,0.4958399832248688,0.7907603979110718,0.0196566935512089,0.31680998751622863,0.87027687,0.8607572,,,4,0.43541902489571643,2.458333333,,4.5,3.55,3.07,2.935,640,7.67
squeaky,0.4954148232936859,0.8167328834533691,0.0692513732724591,0.29722035999954355,0.82844853,0.80247355,,,7,0.4604663600065047,,,4.353,,3.07,2.0086,74,4.63
howling,0.4930372536182403,-0.4855976402759552,-0.164570760430375,0.34564551891868106,0.8500787,0.86519897,3.545454545,6.0,7,-0.0523770490293633,,,4.25,,4.19,2.2648,124,
someone,0.4921522736549377,0.3155428469181061,-0.0206458144655769,0.3297244657146599,0.8570462,0.8274791,,4.0,7,0.26234976870248894,,,3.684,1.82,3.71,4.357,6749,4.92
automotive,0.4909715354442596,-0.0298143457621336,-0.2691673610206662,0.36588375445786325,0.84156555,0.83449346,,,10,0.06399660955381993,,,3.625,,4.19,1.5315,25,7.89
creaky,0.4896272122859955,-0.4889970123767853,-0.1002679087273423,0.3632506013795947,0.8072001,0.83646095,,6.0,6,-0.03321256960604402,,,4.125,,4.07,1.1139,12,6.89
drilling,0.4886702597141266,-0.5915816426277161,-0.2173229445743958,0.3670174267674474,0.89533454,0.8419468,,5.1,8,-0.10674477582932844,,,3.7,,4.14,2.0719,87,
sarcasm,0.4871177673339844,0.0846209973096847,0.2004595383991924,0.1803011885021843,0.7989314,0.4371614,,2.8,7,0.25739943434762047,,,4.444,,1.63,2.1673,129,9.06
tapping,0.4866727292537689,0.4880217015743255,-0.0203002298882779,0.3340839622593431,0.8833219,0.7922628,,5.4,7,0.3181314003132722,,,3.684,,4.4,2.2175,123,
cartoon,0.4864360988140106,0.4392082095146179,0.087765658847846,0.3569814283684444,0.7718653,0.8249998,,2.5,7,0.3378033223921582,,,3.75,4.1,4.33,2.2856,133,3.11
buzzer,0.4864087998867035,-0.5149197578430176,-0.2310131890405126,0.3582018242982703,0.88319665,0.8030598,4.090909091,5.3,6,-0.08650804899894222,2.833333333,,4.368,,4.66,2.3054,135,5.72
bell,0.4849401116371155,0.7763993740081787,0.0326871089055011,0.3290647937030992,0.8941115,0.8246998,1.181818182,4.2,4,0.4313421981835985,1.757575758,,4.056,3.91,4.96,3.3025,1035,3.89
baby,0.4843504726886749,-0.4592005610466003,-0.1448225918629169,0.35458153202211323,0.8974736,0.81082666,2.230769231,4.181818181818182,4,-0.03989089340694744,2.555555556,,4.048,5.4,5.0,4.4146,5088,3.84
thudding,0.4840550720691681,0.1835133880376815,0.0994169866915979,0.33873722606048146,0.87789625,0.8505034,2.666666667,,8,0.2556618155994825,,,4.222,,3.59,1.5051,23,
moaning,0.4829733073711395,-0.3513806164264679,-0.1804436419278953,0.36116271278190065,0.7561812,0.8393279,2.916666667,,7,-0.016283650327741223,,,4.55,,3.76,2.3909,180,
tinkle,0.4811396896839142,0.4792580604553222,-0.0975626388881564,0.37282182097119576,0.83922493,0.8266056,3.0,5.5,6,0.28761170375036,3.962962963,,3.933,4.18,3.52,1.6812,35,5.67
